X,Y,OCC_LABEL,DST_STRUCT,EM_APPRES,MAGNETIC
394103.3861,7595450.217,-9999,707.1068115,287.5387573,-85.6330109
396103.3861,7595450.217,-9999,2549.509766,777.5194092,-105.7567291
398103.3861,7595450.217,-9999,2061.552734,373.5411682,-49.8914452
400103.3861,7595450.217,-9999,500,641.2600708,-78.9649353
402103.3861,7595450.217,-9999,0,627.9361572,-36.8749695
404103.3861,7595450.217,-9999,0,1176.190918,-18.016737
406103.3861,7595450.217,-9999,707.1068115,815.6630859,-100.8409805
408103.3861,7595450.217,-9999,1802.775635,1127.028809,-130.3692627
410103.3861,7595450.217,-9999,1414.213623,926.3562012,-141.0393677
412103.3861,7595450.217,-9999,500,-39.8662415,6.3496928
414103.3861,7595450.217,-9999,1000,1049.158447,-127.530426
416103.3861,7595450.217,-9999,2500,1199.379639,-179.5738373
418103.3861,7595450.217,-9999,2828.427246,679.3345947,-50.6788902
420103.3861,7595450.217,-9999,1414.213623,969.201355,343.6687622
422103.3861,7595450.217,-9999,0,465.7854614,547.6186523
424103.3861,7595450.217,-9999,0,375.8916321,43.6468315
426103.3861,7595450.217,-9999,0,45.2160454,-40.1285667
428103.3861,7595450.217,-9999,1118.033936,617.0958252,-81.4445496
430103.3861,7595450.217,-9999,500,370.1754456,-14.3458195
432103.3861,7595450.217,-9999,0,346.5332031,-118.1757965
434103.3861,7595450.217,-9999,0,22.6026363,-57.6855507
436103.3861,7595450.217,-9999,0,463.0180664,-51.1638145
438103.3861,7595450.217,-9999,500,1005.783447,-31.8083477
440103.3861,7595450.217,-9999,500,977.0059814,-88.7901001
442103.3861,7595450.217,-9999,707.1068115,-156.3073883,29.3556576
444103.3861,7595450.217,-9999,500,484.0575256,158.3508301
446103.3861,7595450.217,-9999,0,1484.116577,126.8982925
448103.3861,7595450.217,-9999,1414.213623,1332.098633,-88.9406586
450103.3861,7595450.217,-9999,0,1025.045532,-129.8673248
452103.3861,7595450.217,-9999,0,932.6360474,-10.6680212
454103.3861,7595450.217,-9999,707.1068115,1034.235962,32.0366211
456103.3861,7595450.217,-9999,500,733.7114258,0.3334421
458103.3861,7595450.217,-9999,0,194.8325195,6.1355958
460103.3861,7595450.217,-9999,0,2.3493364,-14.2252617
462103.3861,7595450.217,-9999,0,137.7438202,-42.7643051
