id,x,y,AEM_Re,AEM_ReIm,AM_DGRF
155,466560.20816556,6945925.37020463,39.341801,0.681384,-317.532013
156,467060.20816556,6945925.37020463,92.427696,0.369109,-347.399994
157,467560.20816556,6945925.37020463,47.7952,10,-359.230011
158,468060.20816556,6945925.37020463,22.6196,0.216247,-326.522003
159,468560.20816556,6945925.37020463,21.160101,-1.48115,-265.378998
160,461060.20816556,6945425.37020463,5.85417,0.008562,-98.438698
161,461560.20816556,6945425.37020463,4.36898,0.015164,-138.940994
162,462060.20816556,6945425.37020463,17.9417,0.071056,-189.274002
163,462560.20816556,6945425.37020463,7.94889,0.063066,-295.467987
164,463060.20816556,6945425.37020463,42.098999,0.238151,-290.462006
165,463560.20816556,6945425.37020463,-7.69784,-0.060525,-349.114014
166,464060.20816556,6945425.37020463,-57.201,-0.547123,-202.298004
167,464560.20816556,6945425.37020463,6.05639,0.088317,-292.987
168,465060.20816556,6945425.37020463,32.453499,0.431982,-304.596985
169,465560.20816556,6945425.37020463,349.463989,0.537313,-272.528015
170,466060.20816556,6945425.37020463,64.680397,0.572855,-294.462006
171,466560.20816556,6945425.37020463,72.463097,0.761497,-327.363007
172,467060.20816556,6945425.37020463,44.494999,0.295063,-259.806
173,467560.20816556,6945425.37020463,29.6073,0.369087,-273.48999
174,468060.20816556,6945425.37020463,39.1861,0.605733,-430.865997
175,468560.20816556,6945425.37020463,17.427299,0.122213,-326.196014
176,469060.20816556,6950425.37020463,249.727997,0.881772,250.899002
177,469560.20816556,6950425.37020463,308.855011,1.30425,-11.6185
178,470060.20816556,6950425.37020463,60.698002,1.07859,-107.385002
179,470560.20816556,6950425.37020463,12.1567,0.25309,-171.772995
180,471060.20816556,6950425.37020463,60.263,0.507418,-199.003006
181,471560.20816556,6950425.37020463,88.886101,0.711722,-203.981003
182,472060.20816556,6950425.37020463,40.824699,0.373411,-146.154007
183,472560.20816556,6950425.37020463,34.5527,0.943568,-162.197998
184,473060.20816556,6950425.37020463,30.8876,0.405491,-156.985001
185,473560.20816556,6950425.37020463,22.811199,0.336361,-160.291
186,474060.20816556,6950425.37020463,30.750099,1.08553,-133.848999
187,474560.20816556,6950425.37020463,37.3839,0.35021,-185.578995
188,475060.20816556,6950425.37020463,-12.8405,-0.185941,-211.832001
189,475560.20816556,6950425.37020463,20.4014,0.249433,-184.600006
190,476060.20816556,6950425.37020463,2.39453,0.04214,-190.203003
191,476560.20816556,6950425.37020463,9.60472,0.057638,-221.322006
192,477060.20816556,6950425.37020463,79.115997,0.131158,-192.057999
193,477560.20816556,6950425.37020463,52.253502,0.133853,-232.869003
194,478060.20816556,6950425.37020463,30.397699,0.065784,-147.304993
195,478560.20816556,6950425.37020463,42.431702,0.133409,35.506199
196,479060.20816556,6950425.37020463,75.623001,0.157677,310.320007
197,479560.20816556,6950425.37020463,78.3629,0.15115,757.416016
198,480060.20816556,6950425.37020463,76.605301,0.16084,723.916016
199,480560.20816556,6950425.37020463,102.652,0.224805,388.113007
200,481060.20816556,6950425.37020463,86.283096,0.180051,183.656998
201,481560.20816556,6950425.37020463,80.680496,0.229735,194.591003
202,482060.20816556,6950425.37020463,55.485001,0.143069,62.420399
203,482560.20816556,6950425.37020463,72.5914,0.385776,29.2817
204,483060.20816556,6950425.37020463,140.261993,0.339104,-75.348198
205,483560.20816556,6950425.37020463,107.890999,0.314178,-84.577904
206,484060.20816556,6950425.37020463,139.822006,0.155059,44.780998
207,484560.20816556,6950425.37020463,167.001007,0.350485,-361.098999
208,485060.20816556,6950425.37020463,40.372898,0.189815,-332.026001
209,485560.20816556,6950425.37020463,746.85199,0.978647,3050.090088
210,486060.20816556,6950425.37020463,1105.48999,1.69794,764.380981
211,486560.20816556,6950425.37020463,2716.879883,1.42129,1791.180054
212,487060.20816556,6950425.37020463,1038.890015,1.37522,685.97998
213,487560.20816556,6950425.37020463,1897.98999,1.24024,-0.616763
214,488060.20816556,6950425.37020463,1363.400024,1.40319,-326.304993
215,488560.20816556,6950425.37020463,377.372009,1.33711,-260.100006
216,489060.20816556,6950425.37020463,272.584015,0.805589,34.184399
217,489560.20816556,6950425.37020463,-183.184998,-1.6346,-75.980103
218,490060.20816556,6950425.37020463,345.156006,0.962356,908.195007
219,490560.20816556,6950425.37020463,87.376701,0.265255,303.464996
220,491060.20816556,6950425.37020463,20.541401,0.121955,-116.797997
221,491560.20816556,6950425.37020463,115.919998,0.13061,459.411011
222,492060.20816556,6950425.37020463,52.2785,0.293462,-370.912994
223,492560.20816556,6950425.37020463,209.667007,0.329559,-418.410004
224,493060.20816556,6950425.37020463,340.846985,0.605262,-578.848999
225,493560.20816556,6950425.37020463,373.182007,0.558703,-411.265991
226,494060.20816556,6950425.37020463,91.431297,0.309036,-330.519989
227,494560.20816556,6950425.37020463,-69.0886,-1.84857,-205.289993
228,495060.20816556,6950425.37020463,-43.439602,-0.415192,-292.764008
229,495560.20816556,6950425.37020463,114.168999,0.404257,-466.72699
230,496060.20816556,6950425.37020463,179.908005,0.38939,-272.498993
231,496560.20816556,6950425.37020463,339.165985,0.782035,-363.497009
232,497060.20816556,6950425.37020463,546.916992,1.68909,98.638603
233,497560.20816556,6950425.37020463,24.2946,0.233149,-585.866028
234,498060.20816556,6950425.37020463,71.959,0.449467,-482.734009
235,498560.20816556,6950425.37020463,120.466003,0.545291,-319.118011
236,499060.20816556,6950425.37020463,40.3582,0.42379,-345.824005
237,499560.20816556,6950425.37020463,186.444,0.291733,-352.424988
238,500060.20816556,6950425.37020463,94.130203,0.127257,-448.815002
239,469060.20816556,6949925.37020463,-24.2673,-0.142128,83.197701
240,469560.20816556,6949925.37020463,5.81628,0.064745,-57.110199
241,470060.20816556,6949925.37020463,9.66092,0.029094,-127.010002
242,470560.20816556,6949925.37020463,24.437901,0.223764,-175.878998
243,471060.20816556,6949925.37020463,20.1099,0.289309,-207.542007
244,471560.20816556,6949925.37020463,9.58628,0.432141,-232.156006
245,472060.20816556,6949925.37020463,22.0196,-1.90723,-222.768997
246,472560.20816556,6949925.37020463,13.2648,1.05815,-219.878006
247,473060.20816556,6949925.37020463,116.115997,0.811875,-147.757004
248,473560.20816556,6949925.37020463,34.0368,0.640092,-167.076004
249,474060.20816556,6949925.37020463,31.0432,0.514437,-129.343994
250,474560.20816556,6949925.37020463,10.8698,0.169939,-182.677002
251,475060.20816556,6949925.37020463,28.248301,0.416945,-180.873001
252,475560.20816556,6949925.37020463,29.234301,0.191376,-174.483002
253,476060.20816556,6949925.37020463,-11.2218,-0.735532,-123.494003
254,476560.20816556,6949925.37020463,-24.813999,-0.256597,-213.658005
255,477060.20816556,6949925.37020463,35.202202,0.120634,-227.804993
256,477560.20816556,6949925.37020463,76.375,0.110531,-258.20401
257,478060.20816556,6949925.37020463,38.914501,0.083893,-205.815994
258,478560.20816556,6949925.37020463,21.8025,0.159139,-155.647003
259,479060.20816556,6949925.37020463,9.94761,0.045436,-71.570702
260,479560.20816556,6949925.37020463,92.314697,0.135565,-38.838699
261,480060.20816556,6949925.37020463,91.800697,0.213761,-88.905296
262,480560.20816556,6949925.37020463,34.476002,0.138719,-218.552002
263,481060.20816556,6949925.37020463,32.0145,0.081654,-99.540497
264,481560.20816556,6949925.37020463,9.16909,0.052038,-131.440994
265,482060.20816556,6949925.37020463,0.863001,0.041018,-162.378006
266,482560.20816556,6949925.37020463,44.559399,0.745577,-265.005005
267,483060.20816556,6949925.37020463,54.359402,0.555549,-315.963013
268,483560.20816556,6949925.37020463,17.466999,0.169699,-341.78299
269,484060.20816556,6949925.37020463,50.8909,0.127779,-197.311005
270,484560.20816556,6949925.37020463,66.0522,0.133426,-272.45401
271,485060.20816556,6949925.37020463,1382.900024,1.69932,1086.51001
272,485560.20816556,6949925.37020463,163.919998,0.59224,-344.566986
273,486060.20816556,6949925.37020463,97.239197,0.281588,557.307007
274,486560.20816556,6949925.37020463,1061.109985,1.25686,802.137024
275,487060.20816556,6949925.37020463,3411.219971,3.41725,-522.30603
276,487560.20816556,6949925.37020463,702.302002,1.87441,860.263977
277,488060.20816556,6949925.37020463,165.768997,3.255,-437.778992
278,488560.20816556,6949925.37020463,0.280602,0.023088,-506.153015
279,489060.20816556,6949925.37020463,-51.3255,10,-86.550201
280,489560.20816556,6949925.37020463,46.7453,0.389169,-210.667007
281,490060.20816556,6949925.37020463,-9.67852,-0.074881,-100.690002
282,490560.20816556,6949925.37020463,-75.228798,-0.299132,-165.677002
283,491060.20816556,6949925.37020463,78.321198,0.144299,-237.938004
284,491560.20816556,6949925.37020463,34.602798,0.190896,-284.740997
285,492060.20816556,6949925.37020463,191.462997,0.274469,-466.199005
286,492560.20816556,6949925.37020463,184.201996,0.326513,-442.559998
287,493060.20816556,6949925.37020463,321.169006,0.510802,-438.312988
288,493560.20816556,6949925.37020463,397.118011,0.529183,-431.233002
289,494060.20816556,6949925.37020463,133.485992,0.222239,-347.093994
290,494560.20816556,6949925.37020463,138.542999,0.323735,-269.852997
291,495060.20816556,6949925.37020463,212.653,0.322819,-329.40799
292,495560.20816556,6949925.37020463,170.718002,0.460548,-189.634003
293,496060.20816556,6949925.37020463,112.954002,0.44814,-357.167999
294,496560.20816556,6949925.37020463,-7.73196,-0.110359,287.919006
295,497060.20816556,6949925.37020463,18.9228,-0.01309,-435.375
296,497560.20816556,6949925.37020463,75.330803,0.380549,-441.385986
297,498060.20816556,6949925.37020463,95.2146,0.401371,-456.122986
298,498560.20816556,6949925.37020463,18.283199,0.170147,-477.257996
299,499060.20816556,6949925.37020463,238.453003,0.495169,-264.369995
300,499560.20816556,6949925.37020463,280.328003,0.682501,-267.269012
301,500060.20816556,6949925.37020463,52.931301,0.098751,-297.644012
302,469060.20816556,6949425.37020463,19.997801,0.150601,-75.212196
303,469560.20816556,6949425.37020463,54.959999,0.148437,-114.384003
304,470060.20816556,6949425.37020463,-1.89365,-0.075861,-143.707001
305,470560.20816556,6949425.37020463,-9.39786,-0.092604,-162.882004
306,471060.20816556,6949425.37020463,40.5271,0.12112,-225.272003
307,471560.20816556,6949425.37020463,-11.491,-0.090305,-232.102997
308,472060.20816556,6949425.37020463,-38.9482,-5.24598,-273.839996
309,472560.20816556,6949425.37020463,53.566299,1.06401,-259.325989
310,473060.20816556,6949425.37020463,22.3843,0.981101,-209.220993
311,473560.20816556,6949425.37020463,18.2789,0.254462,-176.279007
312,474060.20816556,6949425.37020463,59.585098,0.425751,-134.654999
313,474560.20816556,6949425.37020463,54.424801,0.672287,-140.472
314,475060.20816556,6949425.37020463,12.6933,0.072266,-184.264999
315,475560.20816556,6949425.37020463,8.97123,0.146155,-158.417007
316,476060.20816556,6949425.37020463,67.243896,0.575265,-116.166
317,476560.20816556,6949425.37020463,16.973101,0.092,-231.264008
318,477060.20816556,6949425.37020463,18.452,0.135484,-195.944
319,477560.20816556,6949425.37020463,36.689499,0.200897,-236.447006
320,478060.20816556,6949425.37020463,33.587502,0.18819,-188.434006
321,478560.20816556,6949425.37020463,28.4133,0.186336,-192.979004
322,479060.20816556,6949425.37020463,-13.6983,-0.522402,-224.322998
323,479560.20816556,6949425.37020463,11.4517,0.03887,-228.343994
324,480060.20816556,6949425.37020463,7.72225,0.099876,-221.927994
325,480560.20816556,6949425.37020463,63.540699,0.158038,-141.179993
326,481060.20816556,6949425.37020463,19.4165,0.110516,-80.163101
327,481560.20816556,6949425.37020463,4.05439,0.030418,-227.087006
